PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Russell Westbrook,OKC,28,76,43,33,34.8,31.9,10.3,24.2,42.5,2.4,7.1,33.9,8.9,10.6,84.2,1.7,9,10.6,10.4,5.5,1.7,0.4,2.3,58,40,3.1
James Harden,HOU,27,76,51,25,36.5,29.2,8.4,19,44.1,3.2,9.2,34.4,9.2,10.8,85.2,1.2,6.9,8.1,11.2,5.8,1.5,0.4,2.6,60,20,5.4
Isaiah Thomas,BOS,28,71,48,23,34,29.1,9,19.5,46.3,3.3,8.5,38.3,7.8,8.6,91.1,0.5,2.1,2.6,5.9,2.7,0.9,0.1,2.2,5,0,3.9
Anthony Davis,NOP,24,72,31,41,36.2,27.8,10.2,20.1,50.6,0.5,1.7,30.3,6.9,8.7,80,2.3,9.7,12,2.2,2.5,1.3,2.2,2.2,48,0,0.7
DeMar DeRozan,TOR,27,69,43,26,35.5,27.4,9.8,21,46.7,0.5,1.7,27.5,7.3,8.7,83.9,1,4.4,5.4,3.9,2.4,1.1,0.2,1.8,4,0,2.2
DeMarcus Cousins,NOP,26,70,30,40,34.1,26.9,9,19.9,45.1,1.8,5,36.1,7.2,9.3,76.8,2.1,8.8,10.9,4.6,3.7,1.4,1.3,3.8,44,2,-0.3
Damian Lillard,POR,26,71,36,35,35.8,26.8,8.8,19.6,44.8,2.8,7.6,37,6.4,7.2,89.6,0.6,4.2,4.9,5.9,2.7,0.9,0.3,2.1,11,0,1.2
LeBron James,CLE,32,69,48,21,37.4,26.1,9.8,18,54.4,1.7,4.6,36.9,4.8,7.1,67.3,1.2,7.2,8.4,8.7,4.1,1.2,0.6,1.7,38,10,6.5
Kawhi Leonard,SAS,25,68,52,16,33.8,25.9,8.7,18,48.3,1.9,5.3,36.2,6.6,7.5,88,1.1,4.8,5.9,3.5,2.1,1.9,0.7,1.6,8,0,6.5
Kevin Durant,GSW,28,59,49,10,33.6,25.3,8.9,16.7,53.7,1.9,5,37.8,5.5,6.3,87.6,0.6,7.6,8.2,4.8,2.3,1.1,1.6,1.9,21,1,11.1
Kyrie Irving,CLE,25,67,44,23,34.9,25.2,9.3,19.8,47.2,2.4,6.1,39.6,4.1,4.5,90.4,0.7,2.5,3.2,5.7,2.6,1.2,0.3,2.1,8,0,4.3
Stephen Curry,GSW,29,74,61,13,33.5,25,8.4,18.2,46.3,4,9.9,40,4.2,4.6,91.2,0.8,3.7,4.5,6.5,3,1.8,0.2,2.4,8,0,12.4
Karl-Anthony Towns,MIN,21,75,30,45,37,24.7,9.6,18,53.4,1.2,3.4,35.4,4.3,5.3,82.7,3.6,8.4,12.1,2.7,2.6,0.7,1.3,3,56,1,-0.4
Jimmy Butler,CHI,27,70,36,34,37,23.7,7.4,16.3,45.2,1.2,3.3,34.9,7.7,9,86.3,1.7,4.5,6.2,5.5,2,1.9,0.4,1.5,14,1,2
John Wall,WAS,26,74,46,28,36.6,23.3,8.4,18.6,45.2,1.1,3.5,31.3,5.5,6.8,80.6,0.8,3.4,4.2,10.7,4.1,2,0.6,1.9,48,0,3.6
CJ McCollum,POR,25,76,38,38,34.9,23.3,8.7,18,48.6,2.4,5.6,42.8,3.4,3.7,91.2,0.7,2.9,3.6,3.6,2.2,0.9,0.5,2.6,1,0,0.7
Andrew Wiggins,MIN,22,75,30,45,37.3,23.2,8.5,18.8,45.3,1.2,3.4,36,4.9,6.5,75.3,1.3,2.7,4,2.3,2.3,1,0.4,2.3,1,0,0.4
Bradley Beal,WAS,23,72,45,27,34.9,23.1,8.3,17.2,48,2.9,7.3,40.5,3.6,4.4,82.1,0.7,2.4,3.1,3.5,2,1,0.3,2.2,1,0,4.6
Giannis Antetokounmpo,MIL,22,75,40,35,35.6,23.1,8.3,15.9,52.4,0.7,2.3,28.5,5.8,7.6,77.1,1.8,6.8,8.6,5.3,2.9,1.7,1.9,3.2,28,2,0.8
Kemba Walker,CHA,26,76,36,40,34.6,23.1,8.1,18.3,44.5,3,7.5,40.2,3.8,4.5,84.8,0.6,3.4,3.9,5.5,2.1,1.1,0.3,1.5,8,0,2.7
Paul George,IND,26,69,34,35,35.5,22.9,7.9,17.6,45.2,2.5,6.3,38.9,4.5,5,90.4,0.8,5.7,6.4,3.2,3,1.5,0.4,2.8,8,0,1.2
Kyle Lowry,TOR,31,56,32,24,37.7,22.8,7.2,15.5,46.3,3.3,7.9,41.7,5.1,6.1,82.6,0.8,3.9,4.7,6.9,2.8,1.4,0.3,2.9,9,1,5.8
Carmelo Anthony,NYK,32,71,27,44,34.5,22.5,8.2,18.7,43.5,2.1,5.7,36.1,4.1,4.9,83.4,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.6,7,0,-3
Klay Thompson,GSW,27,73,61,12,34.2,22.2,8.3,17.6,47.1,3.4,8.2,41.8,2.3,2.7,85.1,0.6,3.1,3.7,2,1.7,0.8,0.5,1.8,0,0,10.1
Devin Booker,PHX,20,74,22,52,35,21.9,7.7,18.1,42.6,1.9,5.1,36.4,4.6,5.5,83.1,0.6,2.6,3.2,3.3,3.1,0.9,0.3,3.1,0,0,-3.3
Gordon Hayward,UTA,27,68,43,25,34.6,21.8,7.3,15.8,46.5,2,5.2,39.2,5.1,6,84.7,0.7,4.9,5.6,3.5,1.9,1,0.3,1.6,2,0,4.8
Blake Griffin,LAC,28,57,36,21,34.1,21.6,7.9,16,49.2,0.6,1.8,35.3,5.2,7,75.1,1.9,6.3,8.2,5,2.4,1,0.4,2.6,19,1,6.5
Eric Bledsoe,PHX,27,66,22,44,33,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,7,1,-2.8
Brook Lopez,BKN,29,70,17,53,29.6,20.7,7.4,15.7,47.2,1.8,5.2,35,4,5,81,1.6,3.8,5.4,2.4,2.4,0.5,1.6,2.6,2,0,-2.6
Mike Conley,MEM,29,64,34,30,33.6,20.5,6.7,14.7,45.4,2.4,6,40.2,4.8,5.5,85.9,0.5,3.1,3.6,6.3,2.3,1.3,0.3,1.8,7,0,2.5
Joel Embiid,PHI,23,31,13,18,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2,5.9,7.8,2.1,3.8,0.9,2.5,3.6,9,0,2.2
Goran Dragic,MIA,30,67,36,31,33.5,20.1,7.2,15.3,47.5,1.6,4,40.7,4,5.1,78.9,0.9,3,3.9,5.9,2.9,1.2,0.2,2.8,6,0,1
Jabari Parker,MIL,22,51,22,29,33.9,20.1,7.8,16,49,1.3,3.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1,0.4,2.2,2,0,-1.7
Marc Gasol,MEM,32,69,39,30,34.6,19.9,7.3,15.9,46,1.4,3.7,38.1,3.8,4.6,83,0.8,5.4,6.3,4.6,2.2,0.9,1.3,2.3,10,2,0.7
Harrison Barnes,DAL,24,75,31,44,35.8,19.4,7.7,16.5,46.6,1,2.8,34.4,3,3.5,85.7,1.2,3.9,5.1,1.5,1.3,0.9,0.2,1.6,1,0,-1.6
Kevin Love,CLE,28,54,37,17,31,19,6.1,14.3,42.7,2.4,6.4,37.6,4.4,5,87.5,2.4,8.4,10.9,1.9,2,0.9,0.4,1.9,35,0,5.5
Zach LaVine,MIN,22,47,16,31,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3,83.6,0.4,3,3.4,3,1.8,0.9,0.2,2.2,0,0,-2.5
Rudy Gay,SAC,30,30,11,19,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,4,0,2.3
Dwyane Wade,CHI,35,57,27,30,30.2,18.6,7,16.2,43.4,0.8,2.5,31.5,3.8,4.8,79.3,1.1,3.4,4.5,3.9,2.2,1.5,0.7,1.9,2,0,-1.7
Kristaps Porzingis,NYK,21,66,26,40,32.8,18.1,6.7,14.9,45,1.7,4.8,35.7,3,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2,3.7,12,0,-1.5
Dennis Schroder,ATL,23,75,39,36,31.4,18.1,7,15.5,45.2,1.3,3.7,33.6,2.9,3.4,85.3,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,10,0,-0.8
Paul Millsap,ATL,32,65,37,28,34.3,18.1,6.3,14.2,44.3,1.1,3.5,31.4,4.4,5.8,76.1,1.6,6.1,7.7,3.8,2.3,1.3,1,2.7,18,0,1.6
Derrick Rose,NYK,28,64,26,38,32.5,18,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4,87.4,1,2.8,3.8,4.4,2.3,0.7,0.3,1.3,2,0,-2.6
Chris Paul,LAC,31,57,39,18,31.5,18,6.1,12.8,47.3,2,5,40.2,3.9,4.4,88.7,0.7,4.3,4.9,9.2,2.4,1.9,0.1,2.4,23,1,8.8
Lou Williams,HOU,30,76,30,46,24.4,17.7,5.4,12.4,43.5,2.1,5.5,37.7,4.9,5.6,87.5,0.3,2.1,2.4,3,1.9,1,0.2,1.2,0,0,0.7
Danilo Gallinari,DEN,28,58,28,30,33.6,17.6,5,11.5,43.5,1.9,4.9,38.4,5.6,6.3,90.1,0.6,4.4,5.1,2.1,1.3,0.7,0.3,1.5,3,0,2
LaMarcus Aldridge,SAS,31,67,51,16,32.7,17.5,7,14.7,47.3,0.3,0.8,43.1,3.2,4,81.5,2.5,5,7.5,2.1,1.4,0.6,1.2,2.2,18,0,4.2
Evan Fournier,ORL,24,64,22,42,33,17.1,6,13.8,43.8,1.8,5.3,34.6,3.2,4,79.8,0.7,2.5,3.2,3,2.1,1,0,2.7,1,0,-2.5
George Hill,UTA,30,47,31,16,32,16.9,5.9,12.6,47.1,1.9,4.8,39.3,3.2,4,80,0.5,3,3.5,4.1,1.8,1,0.2,2.4,0,0,5
Hassan Whiteside,MIA,27,71,35,36,32.6,16.8,7,12.5,56,0,0,0,2.8,4.5,62.3,3.8,10.3,14.1,0.7,2,0.7,2.1,2.9,52,0,1
