DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2014-2015 Regular Season,02/03/2015,Jared Sullinger,PF,Boston,New York,R,35.98,11,19,0,3,0,0,2,7,9,6,2,0,1,0,22
2014-2015 Regular Season,02/03/2015,Evan Turner,SG,Boston,New York,R,32.57,1,5,0,1,3,4,2,6,8,5,4,0,5,0,5
2014-2015 Regular Season,02/03/2015,Brandon Bass,PF,Boston,New York,R,30.02,5,9,0,1,2,2,1,3,4,0,0,0,1,0,12
2014-2015 Regular Season,02/03/2015,Avery Bradley,SG,Boston,New York,R,32.63,11,14,3,5,1,1,0,1,1,4,2,1,1,0,26
2014-2015 Regular Season,02/03/2015,Marcus Smart,PG,Boston,New York,R,36.72,3,9,2,7,5,6,0,4,4,3,0,2,3,0,13
2014-2015 Regular Season,02/03/2015,Jae Crowder,SF,Boston,New York,R,28.92,5,8,1,2,2,3,2,2,4,1,0,0,2,0,13
2014-2015 Regular Season,02/03/2015,James Young,SG,Boston,New York,R,17.02,2,7,0,3,1,2,0,3,3,2,0,1,1,0,5
2014-2015 Regular Season,02/03/2015,Tyler Zeller,C,Boston,New York,R,11.13,3,3,0,0,3,4,4,1,5,1,3,0,1,0,9
2014-2015 Regular Season,02/03/2015,Marcus Thornton,SG,Boston,New York,R,15.02,1,3,0,2,1,1,0,1,1,1,0,2,0,0,3
2014-2015 Regular Season,02/03/2015,Lou Amundson,PF,New York,Boston,H,36.37,3,6,0,0,0,0,2,4,6,1,3,1,4,1,6
2014-2015 Regular Season,02/03/2015,Carmelo Anthony,SF,New York,Boston,H,32.88,9,23,1,5,2,2,2,4,6,3,4,2,0,0,21
2014-2015 Regular Season,02/03/2015,Jason Smith,C,New York,Boston,H,30.65,6,8,0,0,0,0,3,4,7,5,2,0,0,0,12
2014-2015 Regular Season,02/03/2015,Jose Calderon,PG,New York,Boston,H,30.98,7,12,3,4,0,0,0,2,2,2,2,0,4,0,17
2014-2015 Regular Season,02/03/2015,Langston Galloway,PG,New York,Boston,H,29.53,2,8,0,5,0,0,3,2,5,5,3,0,1,1,4
2014-2015 Regular Season,02/03/2015,Quincy Acy,PF,New York,Boston,H,12.97,2,4,0,1,0,1,0,2,2,0,0,1,0,0,4
