Title,Location,Company,Salary,,SearchURL,URL,SQL,Hadoop,Oracle,Excel,Teradata,DB2,Qlik,SAS,Agile,Scrum,Statistics,PowerPoint,Python,Matlab,SQL Server,SSRS,ETL
Tableau Sr. Consultant,"Jacksonville, FL",Exl Service,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Sr.-Consultant-Exl-Service-Jacksonville-FL-32204/10300143/351089?icid=sr31-2p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Developer,"Bloomfield, CT",CGI,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Developer-CGI-Bloomfield-CT-06002/cgiamsbot/J0116-0072?icid=sr32-2p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Developer,"Lafayette, LA",CGI,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Developer-CGI-Lafayette-LA-70500/cgiamsbot/J0116-0181?icid=sr33-2p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Digital Media Analyst - SAS, R, Python, Tableau","New York, NY","SAS, R, Python, Tableau",Market,FALSE,,https://www.dice.com/jobs/detail/Digital-Media-Analyst-%26%2345-SAS%2C-R%2C-Python%2C-Tableau-Aetna-New-York-NY-10001/CVTY/2774500211491410?icid=sr34-2p&q=Tableau&l=,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Admin/Developer,"Hartford, CT","SmallArc, Inc",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Admin%26%2347Developer-SmallArc%2C-Inc-Hartford-CT-06105/10115873/R-CT-00030?icid=sr36-2p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau platform architect / Administrator,"Raritan, NJ",Jaitra,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-platform-architect-%26%2347-Administrator-Jaitra-Raritan-NJ-08869/10203985/021367?icid=sr40-2p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Application Development Manager,"New York City, NY",9to9 Software Solutions LLC,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Application-Development-Manager-9to9-Software-Solutions-LLC-New-York-City-NY-10002/90573793/TBNY_1120?icid=sr41-2p&q=Tableau&l=,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau BI Developer,"Washington, DC",MERP Systems,85000,TRUE,,https://www.dice.com/jobs/detail/Tableau-BI-Developer-MERP-Systems-Washington-DC-20552/10486658/355707?icid=sr42-2p&q=Tableau&l=,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Tableau Dashboard Developer,"Houston, TX",Pantheon,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Dashboard-Developer-Pantheon-Houston-TX-77060/10110117/355415?icid=sr43-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Systems Analyst (Pharma/Life Sciences Domain),"Redwood City, CA",Innova Solutions Inc,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Systems-Analyst-%28Pharma%26%2347Life-Sciences-Domain%29-Innova-Solutions-Inc-Redwood-City-CA-94061/90854763/298273?icid=sr44-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tableau Architect,"San Ramon, CA",Pacific Data Integrators,OED,FALSE,,https://www.dice.com/jobs/detail/tableau-Architect-Pacific-Data-Integrators-San-Ramon-CA-94582/90624173/1886?icid=sr45-2p&q=Tableau&l=,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Developer/ Analyst,"San Francisco, CA","Paramount Software Solutions, Inc",Negotiable,FALSE,,https://www.dice.com/jobs/detail/Tableau-Developer%26%2347-Analyst-Paramount-Software-Solutions%2C-Inc-San-Francisco-CA-94104/10452799/362472?icid=sr46-2p&q=Tableau&l=,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cognos/Tableau Developer,"Boca Raton, FL",FusionForte,Market,FALSE,,https://www.dice.com/jobs/detail/Cognos%26%2347Tableau-Developer-FusionForte-Boca-Raton-FL-33429/10443786/Cognos_Tab?icid=sr49-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Tableau Developer,"Washington, DC",Agile Software,Negotiable,FALSE,,https://www.dice.com/jobs/detail/Tableau-Developer-Agile-Software-Washington-DC-20024/90881652/TRS?icid=sr50-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Active Clerance with Tableau Resource - Dashboard building using BW on Hana,"Falls Church, VA",Dashboard building using BW on Hana,Negotiable,FALSE,,https://www.dice.com/jobs/detail/Active-Clerance-with-Tableau-Resource-%26%2345-Dashboard-building-using-BW-on-Hana-Galax%26%2345Esystems-Corp-Falls-Church-VA-22040/10230239/2016-01-09?icid=sr51-2p&q=Tableau&l=,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Business Intelligence: Tableau Developer,"San Francisco, CA",CODEFORCE 360,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Business-Intelligence%3A-Tableau-Developer-CODEFORCE-360-San-Francisco-CA-94103/10489662/355710?icid=sr52-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Tableau Developer,"Peoria, IL",Prospance Inc.,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Developer-Prospance-Inc.-Peoria-IL-61601/10427688/319372?icid=sr53-2p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16-00174 - Tableau Developer,"Basking Ridge, NJ",174,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/16%26%234500174-%26%2345-Tableau-Developer-Indotronix-International-Corp-Basking-Ridge-NJ-07920/indony/357428?icid=sr54-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tableau Administrator,"Baltimore, MD","INFOSMART SYSTEMS,INC.",Best in the Market,FALSE,,https://www.dice.com/jobs/detail/Tableau-Administrator-INFOSMART-SYSTEMS%2CINC.-Baltimore-MD-21270/10125908/TA003?icid=sr56-2p&q=Tableau&l=,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Tableau Developer,"San Francisco, CA",Sapvix,MARKET RATE,FALSE,,https://www.dice.com/jobs/detail/Tableau-Developer-Sapvix-San-Francisco-CA-94101/10350483/363985?icid=sr57-2p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Tableau Reports Expert / Administrator,"Seattle, WA",TRIAD Group,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Tableau-Reports-Expert-%26%2347-Administrator-TRIAD-Group-Seattle-WA-98109/TRIADW/206217?icid=sr58-2p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Tableau Administrator,"Columbia, MD",Career Developers,100-115k w/ 15% Bonu,FALSE,,https://www.dice.com/jobs/detail/Tableau-Administrator-Career-Developers-Columbia-MD-21046/cdevelop/MA1500348?icid=sr59-2p&q=Tableau&l=,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Data analyst,"Raritan, NJ","Stefanini, Inc.",30,TRUE,,https://www.dice.com/jobs/detail/Data-analyst-Stefanini%2C-Inc.-Raritan-NJ-08869/10106616/MSSJ02?icid=sr274-10p&q=Tableau&l=,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Analyst / Developer Lead,"Peoria, IL",Tenazx,$55 ,TRUE,,https://www.dice.com/jobs/detail/Analyst-%26%2347-Developer-Lead-Tenazx-Peoria-IL-61610/90893233/10002?icid=sr275-10p&q=Tableau&l=,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Business Intelligence Developer,"Washington, DC","KLSL Consulting, LLC",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Business-Intelligence-Developer-KLSL-Consulting%2C-LLC-Washington-DC-20002/10299920/440833?icid=sr277-10p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BI Cognos Lead Developer with SQL,"Livingston, NJ",FYI Business Solutions,75,TRUE,,https://www.dice.com/jobs/detail/BI-Cognos-Lead-Developer-with-SQL-FYI-Business-Solutions-Livingston-NJ-07039/fyisys/362722?icid=sr278-10p&q=Tableau&l=,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BI Architect,"Montvale, NJ","DEEGIT, INC.",Negotiable,FALSE,,https://www.dice.com/jobs/detail/BI-Architect-DEEGIT%2C-INC.-Montvale-NJ-07645/10105937/622745?icid=sr279-10p&q=Tableau&l=,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sr. Data Analytic Professional,"San Francisco, CA","Varite,  Inc.",Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Sr.-Data-Analytic-Professional-Varite%2C--Inc.-San-Francisco-CA-94105/10110426/VAPG-AC-7993?icid=sr280-10p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Reports Developer (Business Objects),"Kansas City, MO","Apex Systems, Inc",Competitive,FALSE,,https://www.dice.com/jobs/detail/Reports-Developer-%28Business-Objects%29-Apex-Systems%2C-Inc-Kansas-City-MO-64198/apexsan/336507?icid=sr281-10p&q=Tableau&l=,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Senior Analyst, Business Intelligence","New York, NY",Patel Consultants Corp,Negotiable,FALSE,,https://www.dice.com/jobs/detail/Senior-Analyst%2C-Business-Intelligence-Patel-Consultants-Corp-New-York-NY-10001/patel/344779?icid=sr282-10p&q=Tableau&l=,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ETL Developer,"Warren, NJ",Resolve Tech Solutions (RTS),Negotiable,FALSE,,https://www.dice.com/jobs/detail/ETL-Developer-Resolve-Tech-Solutions-%28RTS%29-Warren-NJ-07059/10368525a/RTS59684?icid=sr283-10p&q=Tableau&l=,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Team Lead,"Princeton, NJ",APN Consulting Inc,Depends On Experience,FALSE,,https://www.dice.com/jobs/detail/Team-Lead-APN-Consulting-Inc-Princeton-NJ-08540/10123488/15-01081?icid=sr284-10p&q=Tableau&l=,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
