Date,Value
2014-04-30,12303.323
2014-03-31,12329.103
2014-02-28,12330.786
2014-01-31,12126.413
2013-12-31,12266.032
2013-11-30,12128.473
2013-10-31,12179.187
2013-09-30,12239.494
2013-08-31,12048.43
2013-07-31,12132.96
2013-06-30,12170.789
2013-05-31,12171.525
2013-04-30,12164.611
2013-03-31,12161.747
2013-02-28,12164.385
2013-01-31,11999.916
2012-12-31,12155.612
2012-11-30,11963.315
2012-10-31,12024.964
2012-09-30,12113.002
2012-08-31,11849.621
2012-07-31,11946.315
2012-06-30,11949.275
2012-05-31,12009.204
2012-04-30,11927.039
2012-03-31,11991.656
2012-02-29,11935.123
2012-01-31,11800.973
2011-12-31,11956.443
2011-11-30,11818.601
2011-10-31,11862.658
2011-09-30,11941.582
2011-08-31,11727.636
2011-07-31,11790.13
2011-06-30,11785.47
2011-05-31,11786.017
2011-04-30,11774.754
2011-03-31,11836.252
2011-02-28,11808.864
2011-01-31,11694.714
2010-12-31,11856.494
2010-11-30,11702.779
2010-10-31,11718.78
2010-09-30,11751.426
2010-08-31,11533.105
2010-07-31,11602.524
2010-06-30,11589.553
2010-05-31,11562.041
2010-04-30,11582.846
2010-03-31,11595.476
2010-02-28,11579.696
2010-01-31,11464.02
2009-12-31,11630.069
2009-11-30,11422.68
2009-10-31,11458.87
2009-09-30,11529.3
2009-08-31,11330.795
2009-07-31,11410.502
2009-06-30,11425.658
2009-05-31,11454.317
2009-04-30,11429.753
2009-03-31,11468.18
2009-02-28,11460.648
2009-01-31,11281.039
2008-12-31,11422.132
2008-11-30,11223.217
2008-10-31,11266.083
2008-09-30,11339.405
2008-08-31,11139.805
2008-07-31,11201.787
2008-06-30,11207.684
2008-05-31,11168.599
2008-04-30,11190.339
2008-03-31,11157.072
2008-02-29,11123.266
2008-01-31,11028.224
2007-12-31,11180.904
2007-11-30,10986.442
2007-10-31,10969.932
2007-09-30,11054.325
2007-08-31,10853.188
2007-07-31,10882.889
2007-06-30,10895.304
2007-05-31,10877.28
2007-04-30,10846.241
2007-03-31,10861.199
2007-02-28,10844.149
2007-01-31,10690.668
2006-12-31,10891.272
2006-11-30,10648.306
2006-10-31,10662.015
2006-09-30,10803.983
2006-08-31,10583.229
2006-07-31,10625.404
2006-06-30,10618.96
2006-05-31,10591.922
2006-04-30,10574.008
2006-03-31,10591.432
2006-02-28,10567.867
2006-01-31,10434.185
2005-12-31,10600.534
2005-11-30,10421.38
2005-10-31,10443.736
2005-09-30,10532.276
2005-08-31,10356.914
2005-07-31,10385.884
2005-06-30,10399.156
2005-05-31,10381.444
2005-04-30,10395.733
2005-03-31,10393.681
2005-02-28,10336.625
2005-01-31,10203.325
2004-12-31,10321.905
2004-11-30,10138.799
2004-10-31,10152.36
2004-09-30,10219.887
2004-08-31,9991.441
2004-07-31,10065.403
2004-06-30,10080.618
2004-05-31,10071.561
2004-04-30,10073.879
2004-03-31,10082.245
2004-02-29,10075.245
2004-01-31,9967.605
2003-12-31,10137.024
2003-11-30,9951.144
2003-10-31,9992.072
2003-09-30,10069.894
2003-08-31,9879.314
2003-07-31,9921.543
2003-06-30,9957.997
2003-05-31,9985.96
2003-04-30,9974.441
2003-03-31,10004.964
2003-02-28,10045.788
2003-01-31,9944.725
2002-12-31,10047.115
2002-11-30,9852.662
2002-10-31,9815.319
2002-09-30,9934.935
2002-08-31,9745.45
2002-07-31,9747.514
2002-06-30,9800.487
2002-05-31,9755.525
2002-04-30,9755.23
2002-03-31,9788.537
2002-02-28,9812.184
2002-01-31,9728.218
2001-12-31,9837.163
2001-11-30,9681.951
2001-10-31,9716.578
2001-09-30,9777.167
2001-08-31,9610.032
2001-07-31,9660.729
2001-06-30,9673.37
2001-05-31,9668.858
2001-04-30,9687.27
2001-03-31,9606.247
2001-02-28,9621.3
2001-01-31,9460.687
