Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1213358244,nba,2017/05/05,NBA BPN League (NBA Game 18),$60k,298.80,,1,2,Tournament,0,0,https://www.fanduel.com/entry/BNIFPUGYX,
S1213358157,nba,2017/05/05,$5 NBA Head-To-Head (Experienced Players Excluded) ,$60k,298.80,0,1,2,2 player league,5,9.00,https://www.fanduel.com/entry/DYYSPKJFJ,
S1213358046,nba,2017/05/05,$200 NBA Double Up ($2),$60k,298.80,,11,112,Tournament,2,4.00,https://www.fanduel.com/entry/AHTXWHYUP,
S1213357868,nba,2017/05/05,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,298.80,,3,20,Tournament,1,1.80,https://www.fanduel.com/entry/ABWZMUETR,
S1213357860,nba,2017/05/05,$2K NBA Mini Swat (Experienced Players Excluded),$60k,298.80,,67,2352,Tournament,1,4.00,https://www.fanduel.com/entry/AFCKKUYGT,
S1213357725,nba,2017/05/05,NBA $1 Double Up (Experienced Players Excluded),$60k,298.80,,2,22,Tournament,1,2.00,https://www.fanduel.com/entry/FDZCSMGVV,
S1213357718,nba,2017/05/05,NBA $2 Double Up ( Experienced Players Excluded),$60k,298.80,,2,11,Tournament,2,4.00,https://www.fanduel.com/entry/AQIJMPSDB,
S1213357601,nba,2017/05/05,50/50 Contest ($1 - Top 50% Win) (Main),$60k,298.80,,3,50,50 player league,1,1.80,https://www.fanduel.com/entry/EAANPASYH,
S1213357597,nba,2017/05/05,50/50 Contest ($1 - Top 50% Win) (Main),$60k,298.80,,2,100,Tournament,1,1.80,https://www.fanduel.com/entry/CCHNCKZET,
S1213357588,nba,2017/05/05,50/50 Contest ($1 - Top 50% Win) (Main),$60k,298.80,,5,100,Tournament,1,1.80,https://www.fanduel.com/entry/DBYWMQZFJ,
S1213357579,nba,2017/05/05,50/50 Contest ($1 - Top 50% Win) (Main),$60k,298.80,,1,50,50 player league,1,1.80,https://www.fanduel.com/entry/EKERRQHXN,
